"YEAR","JURISDICTION","Sum(COUNT)"
2008,"WA",406
2009,"WA",289
2010,"WA",418
2011,"WA",460
2012,"WA",623
2013,"WA",539
2014,"WA",1104
2015,"WA",2816
2016,"WA",3651
2017,"WA",3311
2018,"WA",4814
2019,"WA",5175
2020,"WA",4919
2021,"WA",5326
2022,"WA",6262
2023,"WA",17694
2024,"WA",21714
2008,"VIC",438
2009,"VIC",323
2010,"VIC",741
2011,"VIC",760
2012,"VIC",2180
2013,"VIC",2540
2014,"VIC",3749
2015,"VIC",7823
2016,"VIC",9065
2017,"VIC",8252
2018,"VIC",11548
2019,"VIC",11693
2020,"VIC",10256
2021,"VIC",9717
2022,"VIC",10628
2023,"VIC",8813
2024,"VIC",5376
2008,"TAS",211
2009,"TAS",252
2011,"TAS",573
2012,"TAS",523
2013,"TAS",639
2014,"TAS",1969
2015,"TAS",2318
2016,"TAS",2154
2017,"TAS",2152
2018,"TAS",2408
2019,"TAS",2487
2020,"TAS",3273
2021,"TAS",2618
2022,"TAS",2209
2023,"TAS",2223
2024,"TAS",2787
2008,"SA",600
2009,"SA",1179
2010,"SA",1699
2011,"SA",2320
2012,"SA",3237
2013,"SA",3737
2014,"SA",4681
2015,"SA",5239
2016,"SA",4310
2017,"SA",4337
2018,"SA",5141
2019,"SA",4985
2020,"SA",5728
2021,"SA",4226
2022,"SA",5607
2023,"SA",5329
2024,"SA",5333
2008,"QLD",216
2009,"QLD",254
2010,"QLD",440
2011,"QLD",825
2012,"QLD",937
2013,"QLD",1300
2014,"QLD",2208
2015,"QLD",7446
2016,"QLD",10663
2017,"QLD",11697
2018,"QLD",14020
2019,"QLD",13366
2020,"QLD",8871
2021,"QLD",9847
2022,"QLD",12064
2023,"QLD",11853
2024,"QLD",12063
2013,"NT",84
2014,"NT",90
2015,"NT",120
2016,"NT",196
2017,"NT",329
2018,"NT",341
2019,"NT",462
2020,"NT",372
2021,"NT",273
2022,"NT",181
2023,"NT",573
2024,"NT",2980
2008,"NSW",542
2009,"NSW",613
2010,"NSW",735
2011,"NSW",666
2012,"NSW",705
2013,"NSW",898
2014,"NSW",2096
2015,"NSW",9123
2016,"NSW",8220
2017,"NSW",9273
2018,"NSW",9067
2019,"NSW",9446
2020,"NSW",12652
2021,"NSW",16997
2022,"NSW",9527
2023,"NSW",40551
2024,"NSW",38774
2012,"ACT",37
2013,"ACT",116
2014,"ACT",392
2015,"ACT",258
2016,"ACT",444
2017,"ACT",504
2018,"ACT",877
2019,"ACT",852
2020,"ACT",834
2021,"ACT",461
2022,"ACT",390
2023,"ACT",203
2024,"ACT",227
